model,k,labels,clusters size,alpha,epochs,window,dimension,walk_length,num_walks,p,q,intra_distances,inter_distances,silhouette,calinski_harabasz,davies_bouldin,DBCV,nmi,homogeneity,completeness,v_measure,embedding_path
Ward_2dim_100wl,3,3,[1156  150  183],a0.24,50ep,10win,2dim,100wl,25nw,1p,1q,"{np.int64(0): np.float32(0.5417013), np.int64(1): np.float32(0.87049365), np.int64(2): np.float32(1.2009814)}",3.2152252,0.7373691,3264.576,0.4348714402011362,,0.008643905776071043,0.006263489854351155,0.013942823924987958,0.008643905776071043,"['/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_100wl_25nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_150wl_38nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_200wl_50nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_175wl_44nw_1p_1q.npy']"
Ward_2dim_150wl,4,4,[1117  123  165   84],a0.24,50ep,10win,2dim,150wl,38nw,1p,1q,"{np.int64(0): np.float32(0.4744111), np.int64(1): np.float32(0.8732887), np.int64(2): np.float32(0.83379346), np.int64(3): np.float32(0.5780553)}",3.1212008,0.7088714,3491.9243,0.50820105874823,,0.009708601995828117,0.007487452747284824,0.013803362966705066,0.009708601995828117,"['/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_100wl_25nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_150wl_38nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_200wl_50nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_175wl_44nw_1p_1q.npy']"
Ward_2dim_200wl,5,5,[1011  211  101   64  102],a0.24,50ep,10win,2dim,200wl,50nw,1p,1q,"{np.int64(0): np.float32(0.43873927), np.int64(1): np.float32(0.7517064), np.int64(2): np.float32(0.6008957), np.int64(3): np.float32(0.7343514), np.int64(4): np.float32(0.6424517)}",2.950681,0.63100976,3047.643,0.569252091000274,,0.019860473702611875,0.016706938212039567,0.024481505776097274,0.019860473702611875,"['/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_100wl_25nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_150wl_38nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_200wl_50nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_175wl_44nw_1p_1q.npy']"
Ward_2dim_175wl,6,6,[813 148 136 220  80  92],a0.24,50ep,10win,2dim,175wl,44nw,1p,1q,"{np.int64(0): np.float32(0.33321503), np.int64(1): np.float32(0.60504884), np.int64(2): np.float32(0.8728762), np.int64(3): np.float32(0.38937145), np.int64(4): np.float32(0.6560134), np.int64(5): np.float32(0.40824306)}",2.535584,0.54412466,3041.2292,0.6132652557840023,,0.020136700818858884,0.01924175883246474,0.021118951809940955,0.020136700818858884,"['/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_100wl_25nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_150wl_38nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_200wl_50nw_1p_1q.npy', '/media/work/icarovasconcelos/mono/data/chosen_embeddings/n2v_authors_embeddings_a0.24_10win_50ep_2dim_175wl_44nw_1p_1q.npy']"
