data_year,gp_code,gp_name,gp_score,institution_id,institution_acr,author_name,phd_year,regime_trabalho,carga_horaria,lattes_cv_link,author_id,productivity_grant,productivity_grant_type,phd_institution_id,phd_institution_name,phd_gp_code,phd_supervisor_id,phd_supervisor_name,works_count,cite_count,2yr_mean_citedness,h_index,i10_index,longitude,latitude,state,region
2022,25001019004P6,CC,7,I25112270,UFPE,RUY JOSE GUERRA BARRETTO DE QUEIROZ,2012,Dedicação Exclusiva,30,http://lattes.cnpq.br/1825502153580661,A5084128763,False,,I47508984,"Imperial College of Science, Technology and Medicine",,A5025139066,Thomas Stewart Edward Maibaum,213,495,0.7368421052631579,9,12,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,ROBERTO SOUTO MAIOR DE BARROS,1994,Dedicação Exclusiva,40,http://lattes.cnpq.br/2153962690732683,A5025683089,True,PQ2,I7882870,The University of Glasgow,,A5014790209,Ray Welland,71,1203,0.5555555555555556,14,19,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RICARDO MASSA FERREIRA LIMA,2000,Dedicação Exclusiva,30,http://lattes.cnpq.br/0033981436042117,A5030092387,False,,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5042210961,Rafael Dueire Lins,131,1529,2.888888888888889,18,35,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RICARDO MARTINS DE ABREU SILVA,2003,Dedicação Exclusiva,30,http://lattes.cnpq.br/6234141909588262,A5043194913,False,,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5085225721,Geber Lisboa Ramalho,18,58,1.0,4,1,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RICARDO BASTOS CAVALCANTE PRUDENCIO,2014,Dedicação Exclusiva,30,http://lattes.cnpq.br/2984888073123287,A5083998049,True,PQ1D,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5025550530,Teresa Bernarda Ludermir,140,1987,0.7222222222222222,21,49,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RENATO MARIZ DE MORAES,2005,Dedicação Exclusiva,40,http://lattes.cnpq.br/7284320756124645,A5042588839,False,,I185103710,"University of California, Santa Cruz, EUA",,A5065935907,"J. J. Garcia-Luna-Aceves, Hamid R. Sadjadpour",73,384,0.3333333333333333,9,11,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RENATA MARIA CARDOSO RODRIGUES DE SOUZA,2003,Dedicação Exclusiva,30,http://lattes.cnpq.br/9289080285504453,A5056928312,True,PQ1D,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5089260466,Francisco de Assis Tenório de Carvalho,126,1520,1.1333333333333333,18,32,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,RAFAEL DUEIRE LINS,2012,Dedicação Exclusiva,15,http://lattes.cnpq.br/7601016626256808,A5042210961,True,PQ1D,I20581793,University of Kent,,A5011220438,Simon John Thompson,263,3159,2.2941176470588234,22,61,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PAULO SALGADO GOMES DE MATTOS NETO,2012,Dedicação Exclusiva,30,http://lattes.cnpq.br/4610098557429398,A5028640369,True,PQ2,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5054753630,George Darmiton da Cunha Cavalcanti,85,809,4.894736842105263,15,25,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PAULO ROMERO MARTINS MACIEL,1999,Dedicação Exclusiva,20,http://lattes.cnpq.br/8382158780043575,A5054133174,True,PQ1A,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5059245199,Edna Barros Silva,383,3568,2.933333333333333,29,111,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PAULO ROBERTO FREIRE CUNHA,2013,Dedicação Exclusiva,40,http://lattes.cnpq.br/2026295360734357,A5021910438,True,PQSR,I151746483,University of Waterloo,,A5025139066,Thomas Maibaum,92,628,1.0,12,21,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PAULO JORGE LEITAO ADEODATO,1997,Dedicação Exclusiva,30,http://lattes.cnpq.br/3524590211304012,A5049204941,False,,I183935753,King's College London,,A5073528806,John G. Taylor,79,465,2.5555555555555554,10,13,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PAULO HENRIQUE MONTEIRO BORBA,1995,Dedicação Exclusiva,40,http://lattes.cnpq.br/9395715443254344,A5073460644,True,PQ1C,I40120149,University of Oxford,,A5035441574,Joseph Goguen,198,3320,0.8333333333333334,26,88,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,PATRICIA CABRAL DE AZEVEDO RESTELLI TEDESCO,2001,Dedicação Exclusiva,20,http://lattes.cnpq.br/7465148175791735,A5041036885,False,,I130828816,University Of Leeds Computer Based Learning Unit,,A5084126959,John Arthur Self,144,890,0.08333333333333333,16,24,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,ODILON MAROJA DA COSTA PEREIRA FILHO,1997,Dedicação Exclusiva,40,http://lattes.cnpq.br/8836256533308837,A5073107349,False,,I70983195,Syracuse University,,A5073263670,Tapan Kumar Sarkar,2,4,0.0,1,0,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,NIVAN ROBERTO FERREIRA JUNIOR,2015,Dedicação Exclusiva,20,http://lattes.cnpq.br/1386731424473050,A5065868869,False,,I57206974,New York University Polytechnic School of Engineering,,A5003584200,Claudio T Silva,46,968,2.5454545454545454,12,13,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,NELSON SOUTO ROSA,2001,Dedicação Exclusiva,30,http://lattes.cnpq.br/4220236737158909,A5015736964,True,PQ2,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5021910438,Paulo Roberto Freire Cunha,127,1290,0.3333333333333333,14,28,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,MARCELO BEZERRA D AMORIM,2007,Dedicação Exclusiva,40,http://lattes.cnpq.br/3762670242328435,A5020353093,True,PQ2,I157725225,University of Illinois at Urbana-Champaign,,A5081289583,Darko Marinov,104,1859,2.5416666666666665,24,44,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,LUCIANO DE ANDRADE BARBOSA,2009,Dedicação Exclusiva,30,http://lattes.cnpq.br/7113249247656195,A5000683692,False,,I223532165,University of Utah,,A5006773757,Juliana Freire,111,2709,1.0588235294117647,21,36,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,LEOPOLDO MOTTA TEIXEIRA,2014,Dedicação Exclusiva,20,http://lattes.cnpq.br/2117651910340729,A5061752509,True,PQ2,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5073460644,Paulo Henrique Monteiro Borba,68,694,1.25,14,22,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,LEANDRO MACIEL ALMEIDA,2011,Dedicação Exclusiva,40,http://lattes.cnpq.br/8513145553846486,A5022386286,False,,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5025550530,Teresa Bernarda Ludermir,37,218,1.0,6,4,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,KIEV SANTOS DA GAMA,2011,Dedicação Exclusiva,20,http://lattes.cnpq.br/6185519785664724,A5006653128,True,PQ2,I177483745,Universite Joseph Fourier,,A5083173141,Didier Donsez,137,769,2.1578947368421053,13,22,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,KELVIN LOPES DIAS,2004,Dedicação Exclusiva,20,http://lattes.cnpq.br/8664169441117482,A5021505451,True,PQ2,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5014967408,Djamel Fawzi Hadj Sadok,82,737,0.5555555555555556,14,19,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,JULIANO MANABU IYODA,2007,Dedicação Exclusiva,30,http://lattes.cnpq.br/0005349558315095,A5042005232,False,,I241749,University of Cambridge,,,Michael John Caldwell Gordon,36,164,0.5,8,6,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,JUDITH KELNER,1993,Dedicação Exclusiva,40,http://lattes.cnpq.br/7532050172035129,A5026724035,True,PQ1D,I20581793,University of Kent,,A5050239324,John D. Bovey,280,2645,1.975,21,54,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,JOSE AUGUSTO SURUAGY MONTEIRO,2017,Dedicação Exclusiva,20,http://lattes.cnpq.br/2887736963561252,A5079875528,False,,I161318765,University Of California Los Angeles,,A5059529956,Mario Gerla,49,401,0.16666666666666666,8,8,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,JAELSON FREIRE BRELAZ DE CASTRO,1991,Dedicação Exclusiva,30,http://lattes.cnpq.br/0698164500481055,A5088208092,True,PQ2,I47508984,Imperial College Of Science Technology And Medicine,,A5046484952,Jeff Kramer,39,301,1.0,10,10,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,HERMANO PERRELLI DE MOURA,1993,Dedicação Exclusiva,20,http://lattes.cnpq.br/9906166020816798,A5022901220,False,,I7882870,University of Glasgow,,A5072110050,David A Watt,146,617,0.5789473684210527,12,22,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,HANSENCLEVER DE FRANCA BASSANI,2014,Dedicação Exclusiva,20,http://lattes.cnpq.br/1931667959910637,A5064136920,False,,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5090740684,Aluizio Fausto Ribeiro Araújo,36,172,0.5,6,5,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,GUSTAVO HENRIQUE PORTO DE CARVALHO,2016,Dedicação Exclusiva,40,http://lattes.cnpq.br/9603136866152813,A5070089969,False,,I25112270,Universidade Federal de Pernambuco,,A5041930802,Augusto Cezar Alves Sampaio,0,0,0.0,0,0,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,GIORDANO RIBEIRO EULALIO CABRAL,2008,Dedicação Exclusiva,20,http://lattes.cnpq.br/6045470959652684,A5021048068,False,,I4210159731,Laboratoire D'Informatique de Paris 6,,A5053890837 A5080115882,"Jean-Pierre Briot, François Pachet",50,151,0.05555555555555555,6,5,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,GERMANO CRISPIM VASCONCELOS,1995,Dedicação Exclusiva,40,http://lattes.cnpq.br/5943634209341438,A5083952644,False,,I20581793,University of Kent,,A5047840462,Michael Christopher Fairhurst,79,1025,1.0,13,18,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,GEORGE DARMITON DA CUNHA CAVALCANTI,2005,Dedicação Exclusiva,30,http://lattes.cnpq.br/8577312109146354,A5054753630,True,PQ1D,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5048207657,Edson Costa de Barros Carvalho Filho,6,20,0.0,3,1,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,GEBER LISBOA RAMALHO,1997,Dedicação Exclusiva,20,http://lattes.cnpq.br/9783292465422902,A5085225721,False,,I39804081,Universite Pierre et Marie Curie (Paris VI),,A5052738299,Jean-Gabriel Ganascia,122,1871,0.4666666666666667,22,39,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FREDERICO LUIZ GONCALVES DE FREITAS,2002,Dedicação Exclusiva,30,http://lattes.cnpq.br/6195215666638965,A5052665135,True,PQ2,I4104125,Universidade Federal de Santa Catarina,41001010005P1,A5091772753,Guilherme Bittencourt,40,397,0.0,8,8,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FRANCISCO DE ASSIS TENORIO DE CARVALHO,1992,Dedicação Exclusiva,30,http://lattes.cnpq.br/3909162572623711,A5079004987,True,PQ1A,I56435720,Université Paris-Dauphine - Paris IX,,A5059225875,EDWIN DIDAY,406,4468,2.3529411764705883,32,81,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FLAVIA DE ALMEIDA BARROS,1995,Dedicação Exclusiva,40,http://lattes.cnpq.br/5390541720896559,A5003582635,False,,I110002522,University of Essex,,A5037904300,Anne de Roeck,16,64,2.0,5,3,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FERNANDO MACIANO DE PAULA NETO,2018,Dedicação Exclusiva,20,http://lattes.cnpq.br/9643216021359436,A5086585741,False,,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5025550530,Teresa Bernarda Ludermir,28,117,0.4,6,3,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FERNANDO JOSE CASTOR DE LIMA FILHO,2006,Dedicação Exclusiva,20,http://lattes.cnpq.br/7310046838140771,A5062400717,True,PQ2,I181391015,Universidade Estadual de Campinas,33003017005P8,A5040866580,Cecília Mary Fischer Rubira,136,2584,2.5,23,62,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,FABIO QUEDA BUENO DA SILVA,1992,Dedicação Exclusiva,30,http://lattes.cnpq.br/6381755382123529,A5031528145,True,PQ2,I98677209,University of Edinburgh,,,Kevin Mitchell,185,2967,0.125,22,56,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,EDUARDO ANTONIO GUIMARAES TAVARES,2009,Dedicação Exclusiva,30,http://lattes.cnpq.br/1233156130663707,A5024297894,True,PQ2,I25112270,Universidade Federal de Pernambuco,25001019004P6,A5068278408,Paulo Romero Martins Maciel,107,694,1.0,13,23,-34.88111,-8.05389,PE,"Nordeste
"
2022,25001019004P6,CC,7,I25112270,UFPE,EDNA NATIVIDADE DA SILVA BARROS,1993,Dedicação Exclusiva,30,http://lattes.cnpq.br/6291354144339437,A5059245199,True,PQ2,I8087733,University of Tubingen,,A5087076980,Prof Dr. Wolfgang Rosenstiel,139,957,0.5294117647058824,15,26,-34.88111,-8.05389,PE,"Nordeste
"
